Nicola Ferralis;ddscat-tools 5307
Ryan Challener;least_asymmetry 592
Fraine, Jonathan;least_asymmetry 592
Zingale, M.;pyro2 2783
Alice Harpole;pyro2 363
Mead, A. J.;HMcode 726044
Socas-Navarro, H.;NICOLE 236400
Smitka, Michael T.;truvot 387
Tewes, M.;PyCS 326598
vbonvin;PyCS 382908
Hoffman, John;ggadt 28220
Kreidberg, Laura;batman 802995
Michael Zhang;batman 110215
Parviainen, H.;ldtk 272738
Starlink Software Librarian;aspic 58
Tim Jenness;aspic 58
Harvey, A.;JSPAM 170
private;JSPAM 34
John F Wallin;JSPAM 34
Wallin, J. F.;JSPAM 34
Marshall, Philip J.;Pangloss 187285
Charlotte Mason;Pangloss 74914
Charlotte A. Mason;Pangloss 160530
Collett, Thomas E.;Pangloss 374570
Carrasco Kind, Matias;SparsePz 2639
Kendrew, S.;milkywayproject_triggering 12524
Chris Beaumont;milkywayproject_triggering 6262
Dan Foreman-Mackey;george 178524
Dan F-M;george 1120734
Melchior, P.;des-exp-checker 21318
Drlica-Wagner, A.;des-exp-checker 4488
Kipping, David M.;LDC3 744
Dan Foreman-Mackey;LDC3 248
Marulli, F.;CosmoBolognaLib 41781
Veropalumbo, A.;CosmoBolognaLib 13927
Autiwa;mercury-90 22087
Christophe Cossou;mercury-90 91746
ccossou@gmail.com;mercury-90 135920
cossou;mercury-90 25485
jaycedowell;EPIC 5180
Beardsley, Adam P.;EPIC 8806
KentJames;EPIC 3885
Thyagarajan, Nithyanandan;EPIC 33411
Esplin, T. L.;IRACpm 1575
Starlink Software Librarian;aspic 12
Tim Jenness;aspic 12
Wesson, R.;ALFA 73830
Tempel, E.;Bisous 4945
Ishida, E. E. O.;DRACULA 3681
Naminoshi;DRACULA 3272
Camacho, H.;DRACULA 409
Busti, V. C.;DRACULA 409
Varley, Ryan;exodata 2088
Deen, Casey P.;CounterPoint 3664
McMillan, Paul J.;Torus 47925
Shields, Deanna;Spirality 536
White, Martin;ZeldovichRecon 91287
Kim, Dae-Won;upsilon 97234
Sanders, Jason L.;tact 92690
Borsato, L.;trades 62698
Robotham, A. S. G.;hyper.fit 72616
Henshaw, J. D.;SCOUSE 68835
Pu, Hung-Yi;Odyssey 13299
hungyipu;Odyssey 7161
Croton, Darren J.;sage 474763
Hodkinson, Luke;sage 101179
Connors, A.;LIRA 350
infinitron;LIRA 125
Kashyap, V.;LIRA 450
regonzar;paravt 32
Roberto Gonzalez;paravt 8
Riedel, Adric R.;lacewing 73457
Scott, P.;nulike 140139
Laura L Watkins;cjam 397602
Tadeja;cjam 44178
Jones, David E.;BASCS 400
Dotter, Aaron;iso 2408230
Conseil, Simon;zap 346907
Soto, Kurt T.;zap 125114
Price, Daniel J.;denoise 13090
Mantz, Adam B.;lrgs 8954
annayqho;TheCannon 835517
Ho, Anna. Y. Q.;TheCannon 1356003
Connolly, S D;DELightcurveSimulation 10521
Granett, B. R.;tailz.git 1105
Andrew McLeod;seren 1314
Hubber, D. A.;seren 7227
Perrin, Marshall D.;poppy 249387
Kian Milani;poppy 41993
Shannon Osborne;poppy 43707
douglase;poppy 33423
Long, Joseph D.;poppy 68560
Thomas Robitaille;poppy 29995
Fumagalli, Michele;cluster-cloc 73
rdasilva.astro;cluster-cloc 73
Brakensiek, Joshua;CORBITS 31487
Eric Ford;CORBITS 8214
Christiaens, Valentin;VIP 331254
Thomas Bédrine;VIP 44454
RFarkas;VIP 77436
iainhammond;VIP 38718
Gomez Gonzalez, Carlos Alberto;VIP 387180
carlgogo;VIP 77436
Million, Chase;gPhoton 163371
Fleming, Scott W.;gPhoton 57525
Ashkbiz Danehkar;equib 21176
Blazek, Jonathan A.;FAST-PT 92138
Joe;FAST-PT 24036
Sandford, Emily;ExoPriors 867
Czekala, I.;DiskJockey 440022
Tomasi, M.;libpolycomp 240
Sundar Srinivasan;2-DUST 10494
Ueta, Toshiya;2-DUST 3498
Brewer, Brendon J.;DNest3 887064
Bill;CCSNMultivar 556
bwengals;CCSNMultivar 1112
Bill Engels;CCSNMultivar 5004
honmaguro;FDPS 6812
FDPS official;FDPS 15196
行方 大輔;FDPS 1572
Muranushi, Takayuki;FDPS 2620
atrtnkw;FDPS 4192
Agol, Eric;TTVFaster 31528
Dan F-M;TTVFaster 2252
Ethan Kruse;TTVFaster 2252
Dan Foreman-Mackey;TTVFaster 2252
Hanno Rein;TTVFaster 2252
Hinton, S. R.;Marz 332337
Samuel;Marz 63639
Ford, Jes;cluster-lensing 4182
Vandenbroucke, B.;shadowfax 14664
Kim, Dae-Won;pdtrend 5988
Fraser, Wesley;TRIPPy 45018
Alexandersen, Mike;TRIPPy 12627
Duffell, Paul C.;Disco 26725
Geoff Ryan;Disco 8552
Pope, B. J. S.;k2sc 135048
Parviainen, H.;k2sc 247588
Dexter, Jason;grtrans 389070
Yurchenko, Sergei N.;Duo 314835
diatomicDisaster;Duo 60465
Trovemaster;Duo 75060
Graham Bell;pal 91616
Jenness, T.;pal 850720
Berry, D. S.;pal 117792
Winkel, B.;cygrid 35412
Lenz, D.;cygrid 10896
Dowell, J.;hibayes 25998
Price, D.;hibayes 8666
Oleg Smirnov;hibayes 4333
Buchner, J.;PyMultiNest 1886896
Bussmann, R. S.;uvmcmcfit 148800
McEwen, J. D.;comb 21609
Pennucci, Timothy T.;PulsePortraiture 837885
Arthur Loureiro;flask 41804
jb-collab;flask 35832
Xavier, Henrique S.;flask 346376
Calistro Rivera, Gabriela;AGNfitter 32400
Wendy Williams;AGNfitter 2025
Wendy L. Williams;AGNfitter 6075
Schneider, Evan E.;cholla 282298
Alwin;cholla 47296
Bob Caddy;cholla 59120
Trey White;cholla 50252
ojwg;cholla 48774
bruno villasenor;cholla 51730
Reuben D. Budiardja;cholla 45818
bruno;cholla 202486
Bruno;cholla 48774
Murthy, J.;JUDE 3354
astromb;PICsar2D 2436
Brahm, Rafael;zaspe 14910
Andres Jordan;zaspe 1491
nespinoza;zaspe 1491
Duffell, Paul C.;RT1D 55182
Akeret, J.;seek 1510
Chang, C.;seek 604
Huppenkothen, Daniela;stingray 224692
Bachetti, Matteo;stingray 465972
Mishra, Himanshu;stingray 63336
Davenport, James R. A.;appaloosa 438368
Ekaterina Ilin;appaloosa 55328
Robinson, E.;base 79076
Mosè Giordano;Cuba.jl 1610175
Koch, Eric W.;FilFinder 600186
Ginsburg, A.;pvextractor 9450
Robitaille, T.;pvextractor 4320
Beaumont, C.;pvextractor 540
Greig, Bradley;21CMMC 51804
Schirmer, Mischa;nebular 2691
Adam McMaster;starpy 9952
Becky Smethurst;starpy 12440
Smethurst, R. J.;starpy 37320
Hinder, Ian;Kranc 596409
Erik Schnetter;Kranc 300080
Barry Wardell;Kranc 108779
Husa, Sascha;Kranc 180048
lord_elon;SCIMES 41646
Ginsburg, A.;SCIMES 11358
Bailey, Stephen;empca 12660
Pober, Jonathan C.;21cmSense 187166
McQuinn, Matthew;21cmSense 40107
Rosolowsky, E.;spectral-cube 17415
Ginsburg, A.;spectral-cube 75870
Robitaille, T.;spectral-cube 12555
Angus, Ruth;SIPK2 10800
Dan Foreman-Mackey;SIPK2 1800
Sanders, J. S.;contbin 108790
Brahm, Rafael;ceres 56608
Andres Jordan;ceres 11712
Sanders, J. S.;dsdeproj 11951
Elliott Sales de Andrade;matplotlib 8850643
Urrutia, T.;matplotlib 21732541
Pécontal-Rousset, A.;matplotlib 11341868
hannah;matplotlib 1829918
Streicher, O.;matplotlib 1974862
Jody Klymak;matplotlib 6848604
Ben Root;matplotlib 2898880
Eric Firing;matplotlib 7718268
David Stansby;matplotlib 5172689
Jae-Joon Lee;matplotlib 1866154
Bacon, R.;matplotlib 2581815
Jouni K. Seppänen;matplotlib 1748387
Nelle Varoquaux;matplotlib 2183219
Phil Elson;matplotlib 1911449
Michael Droettboom;matplotlib 7926625
Jens Hedegaard Nielsen;matplotlib 2400635
John Hunter;matplotlib 6096707
Darren Dale;matplotlib 1603443
Kristensen, Lars E.;cluster-in-a-box 572
Bob Myhill;burnman 272272
Cottaar, Sanne;burnman 163592
Heister, Timo;burnman 171600
Rose, Ian;burnman 112112
Buchner, J.;BXA 2498144
Vijay Kartik, S.;SARA-dimensionality-reduction 1824
Public BASP Github repos;SARA-dimensionality-reduction 228
Cubillos, Patricio;mc3 361692
Malanchev, K. L.;freddi 35754
Ricardo Vieira;pymc 3920
Michael Osthege;pymc 5080
Thomas Wiecki;pymc 15000
Maxim Kochurov;pymc 4320
Chris Fonnesbeck;pymc 26840
Ricardo;pymc 4720
Junpeng Lao;pymc 4680
Adrian Seyboldt;pymc 3040
Brandon T. Willard;pymc 3920
Osvaldo Martin;pymc 4320
Colin;pymc 4040
John Salvatier;pymc 5520
Anand Patil;pymc 3480
anand.prabhakar.patil;pymc 10040
david.huard;pymc 5440
Lucchi, A.;tf_unet 2075
Akeret, J.;tf_unet 20750
Bacon, R.;mpdaf 41563
Piqueras, L.;mpdaf 178861
Conseil, S.;mpdaf 162516
Shepherd, M.;mpdaf 25218
Gerosa, Davide;precession 490952
MDM988;precession 54196
Kempton, Eliza M. -R.;Exo_Transmit 14400
Chris;Clairvoyance 820
Lam, Christopher;Clairvoyance 3280
cl3425;Clairvoyance 820
ADThomas-astro;oxaf 2265
Melchior, P.;pyGMMis 37036
Rendle, Ben M.;AIMS 33348
Scott, Pat;pippi 60975
Breton, R. P.;Icarus 150880
Punzo, D.;SlicerAstro 58734
Tobar, R.;libprofit 292877
Robotham, A. S. G.;ProFit 331003
Tobar, R.;ProFit 181965
Taranu, D. S.;ProFit 103980
Tobar, R.;pyprofit 103980
Andrews, Brett H.;flexCE 39396
Malavolta, L.;PyORBIT 969440
Calderone, G.;qsfit 61560
Fowlie, Andrew;superplot 21359
Bardsley, Michael Hugh;superplot 29627
Hummels, Cameron B.;trident 400928
Smith, Britton D.;trident 389538
Silvia, Devin W.;trident 79730
Nathan Goldbaum;trident 47838
Matthew Turk;trident 47838
Smith, Britton D.;grackle 1268373
Matthew Abruzzo;grackle 153903
Ewan Jones;grackle 191052
Emerick, Andrew;grackle 159210
Adrian Price-Whelan;thejoker 648903
Yu, W.;vizic 603
Sylvain Corlay;vizic 135
Brian E. Granger;vizic 90
Chen, Jingjing;forecaster 102454
Brett M. Morris;forecaster 9314
Short, C. Ian;GrayStar4 232
Short, C. Ian;GrayStar4Server 180
Boyle, Michael;GWFrames 372040
Dan Hemberger;GWFrames 48280
Pettinari, Guido W.;song 169998
pre-commit-ci[bot];corner.py 871937
Dan Foreman-Mackey;corner.py 1040699
Dan F-M;corner.py 1125080
Will Vousden;corner.py 112508
joannedafna;validation 22212
jdcphysics;validation 11106
Cohn, J. D.;validation 12957
Martin White;validation 5553
Zhang, Hantian;GalaxyGAN 17028
Seth Ariel Green;GalaxyGAN 2838
Yiru Chen;GalaxyGAN 2838
Santhanam, Gokula Krishnan;GalaxyGAN 2838
Gokul Krishnan;GalaxyGAN 2838
Gokul;GalaxyGAN 2838
Ubuntu;GalaxyGAN 5676
Rybizki, Jan;Chempy 96530
Chandra, Mani;grim 77971
Foucart, Francois;grim 44663
Newville, Matthew;xraylarch 254939
M. Koker;xraylarch 27118
abs2k12;COCOA 519
Sinha, Manodeep;Corrfunc 346338
Garrison, Lehman H.;Corrfunc 63414
Mommert, M.;photometrypipeline 74725
Sarpotdar, Mayuresh;starsense_algorithms 38
Leahy, D. A.;SNRmodels 2148
Christoph Deil;SNRmodels 358
Zuluaga, Jorge I.;exorings 1296
FACom Developers;exorings 648
Espinoza, Néstor;mc-spam 14001
Vohl, D.;shwirl 1296
macrocosme;shwirl 2160
Ginsburg, A.;statcont 24645
Sokolovsky, K. V.;vast 34692
Thorne, B.;PySM_public 132432
Andrea Zonca;PySM_public 60698
Yu Feng;PySM_public 16554
Tsai, Shang-Min;VULCAN 102068
shami;VULCAN 77894
shami-EEG;VULCAN 32232
Hurley, P. D.;XID_plus 173512
pdh21;XID_plus 236992
Cassan, Arnaud;microlensing 3528
Ter Braak, Cajo J. F.;demc2 62915
unknown;demc2 75498
Daylan, Tansu;pcat 127008
Montet, Benjamin T.;f3 17700
Geert Barentsen;f3 2950
Sanders, J. S.;mbproj2 29862
Collett, Thomas E.;LensPop 28788
jiwoncpark;LensPop 7197
Phil Marshall;LensPop 14394
Bryce Kalmbach;LensPop 7197
ttemp;LensPop 21591
Ciambur, Bogdan C.;PROFILER 1743
CBogdanC;PROFILER 581
Mishra-Sharma, Siddharth;NPTFit 21420
Rodd, Nicholas L.;NPTFit 20655
Baron, Dalya;WeirdestGalaxies 2966
Jennings, E.;astroABC 17964
Moss, Adam;supernovae 7044
Charnock, Tom;supernovae 3522
Emken, Timon;DaMaSCUS 51504
Stevens, Adam R. H.;DarkSage 403472
Croton, Darren J.;DarkSage 67648
macrocosme;encube 12
Vohl, Dany;encube 6
Barnes, David G.;encube 6
Morrison, C. B.;The-wiZZ 237600
Christopher Morrrison;The-wiZZ 29040
Bilicki, M.;The-wiZZ 79200
Casey, Andrew R.;sick 32592
Savransky, Dmitry;EXOSIMS 1572
Corey Spohn;EXOSIMS 312
Grace Genszler;EXOSIMS 156
Gab;EXOSIMS 348
Dean Keithly;EXOSIMS 1122
Sonny Rappaport;EXOSIMS 180
wdula;EXOSIMS 1074
Gabriel Soto;EXOSIMS 174
dgarrett622;EXOSIMS 402
Delacroix, Christian;EXOSIMS 462
Barragán, O.;pyaneti 286740
Malavolta, L.;CCFpams 3704
Bell, G.;starlink 114688
Draper, P.;starlink 579712
Currie, M.;starlink 547904
Berry, D.;starlink 1111488
Jenness, T.;starlink 674688
Ed Chapin;starlink 186816
Starlink Software Librarian;starlink 213696
Norman Gray;starlink 220864
Andy Gibb;starlink 85120
Asterix Developer;starlink 194432
Brad Cavanagh;starlink 70784
Sipőcz, Brigitta M.;astroquery 1773948
Ginsburg, Adam;astroquery 1866964
Brasseur, C. E.;astroquery 385352
Woillez, Julien;astroquery 215930
Astroquery Collaboration;astroquery 199320
Birnstiel, T.;two-pop-py 839990
Zabalza, V.;naima 133705
Mede, Kyle;ExoSOFT 30450
Chiu, I.;ComEst 624
Liu, J.;ComEst 39
jfoster17;extinction-distances 9392
Foster, Jonathan B.;extinction-distances 14088
Holoien, Thomas W. -S.;XDGMM 4674
Aishwarya Bhave;XDGMM 492
Marshall, Philip J.;XDGMM 492
Holoien, Thomas W. -S.;empiriciSN 4674
Marshall, Philip J.;empiriciSN 738
Scott, Pat;gambit_1.0 2256552
Kvellestad, Anders;gambit_1.0 493368
McKay, James;gambit_1.0 299256
Martinez, Gregory D.;gambit_1.0 420576
Farmer, Ben;gambit_1.0 1197024
Cornell, Jonathan M.;gambit_1.0 517632
Buckley, Andy;gambit_1.0 408444
Weniger, Christoph;gambit_1.0 978648
Athron, Peter;gambit_1.0 408444
Krislock, Abram;gambit_1.0 659172
gmartine;gambit_1.0 270948
Price, Daniel J.;phantom 2827396
Mike Lau;phantom 815595
Lionel Siess;phantom 766165
Wurster, James;phantom 929284
Chan, Conrad;phantom 657419
Liptai, David;phantom 860082
Mentiplay, Daniel;phantom 390497
Arnaud Vericel;phantom 336124
Radcliffe, J. F.;multi_self_cal 1116
jradcliffe5;multi_self_cal 837
dependabot[bot];celerite 330480
Dan Foreman-Mackey;celerite 302940
Dan F-M;celerite 1175040
Agol, Eric;celerite 596700
Sharma, Sanjib;bmcmc 26418
Lenain, J. -P.;flaapluc 1053
Law, C. J.;rfpipe 897219
Mérand, A.;SPIPS 8811
Nicholl, Matt;MOSFiT 320400
Guillochon, James;MOSFiT 1392850
Mockler, Brenna;MOSFiT 298150
Leistedt, Boris;flag-archive 17050
McEwen, Jason D.;flag-archive 3410
Tazzari, M.;binary 560
ds283;CppTransport 482784
Ronayne, John W.;PyTransport 17415
Dias, Mafalda;mTransport 2412
Bird, Simeon;fake_spectra 810264
Keller, Benjamin W.;gasoline 9655230
Wadsley, J. W.;gasoline 5539053
Quinn, T.;gasoline 12602616
Stadel, J.;gasoline 2235948
Do, Tuan;OsirisDRP 9024
jlyke-keck;OsirisDRP 1269
Lyke, Jim E.;OsirisDRP 1410
Fitzgerald, Michael P.;OsirisDRP 1269
Rudy, Alexander R.;OsirisDRP 1410
osiris;OsirisDRP 10434
Beaujean, Frederik;galario 176290
Tazzari, Marco;galario 176290
Gieles, Mark;limepy 148428
Eduardo Balbinot;limepy 10416
mg0033;limepy 20832
keckert7;codes 3060
Liang, Cameron;BayesVP 3519
Rohin Kumar;correlcalc 96
galkintool;galkin 1004
YuChia Chen;megaman 285
Meila, Marina;megaman 150
McQueen, James;megaman 645
Jerry Zhang;megaman 75
VanderPlas, Jacob;megaman 375
Jerry;megaman 75
mmp2;megaman 90
Djannati-Ataï, A.;gammapy 6794475
Zanin, R.;gammapy 3406545
Quentin Remy;gammapy 1756015
Khelifi, B.;gammapy 583270
Acero, F.;gammapy 732190
Lefaucheur, J.;gammapy 3152140
Mohrmann, L.;gammapy 775625
Deil, C.;gammapy 4293860
Du, Fujun;rac-2d 280033
Nun, Isadora;FATS 8937
jmartine;FATS 993
Ryan McCall;FATS 993
danielk605;FATS 993
Jorge Martinez Palomera;FATS 993
Kreidberg, Laura;spiderman 10736
Louden, Tom;spiderman 114070
Günther, Hans Moritz;marxs 1424640
Dowell, Jayce;bifrost 14181
Christopher League;bifrost 2697
Price, Danny C.;bifrost 1653
Cranmer, Miles D.;bifrost 5568
Barsdell, Benjamin R.;bifrost 5220
mdtmc;bifrost 3741
Han, Jiaxin;HBT 4699
jxhan;HBT 14097
Han, Jiaxin;HBTplus 165088
jxhan;HBTplus 163212
Wenger, Trey V.;kd 8992
Trey W;kd 3372
Danehkar, Ashkbiz;mpi_xstar 777
Shaw, J. R.;bitshuffle 1032
Masui, K.;bitshuffle 9632
Jean M. Sexton;Nyx 1074073
Andrew Myers;Nyx 178321
Almgren, Ann S.;Nyx 597168
Weiqun Zhang;Nyx 161733
Jean Sexton;Nyx 219791
Lukić, Zarija;Nyx 145145
vince;Nyx 111969
Brian Friesen;Nyx 128557
Davenport, James R. A.;FBEYE 155430
Dan F-M;photodynam 15515
Ubuntu;iWander 2364
iWander Urania;iWander 10638
Zuluaga, Jorge I.;iWander 3546
Feeney, Stephen M.;hh0 255134
Sousbie, Thierry;dice 15054
Fulton, Benjamin J.;radvel 884142
Spencer Hurt;radvel 149696
Blunt, Sarah;radvel 205832
Petigura, Erik A.;radvel 191798
bjfultn;radvel 177764
Ming Feng Gu;fac 2671302
M. F. Gu;fac 470841
mfgu;fac 2901918
Coupon, Jean;venice 80891
Vandenbroucke, B.;CMacIonize 146304
Loomis, Ryan A.;VISIBLE 19010
Morris, Brett M.;astroplan 1251794
Tollerud, Erik;astroplan 148728
Sipőcz, Brigitta;astroplan 359426
Littlefair, Stuart;astroplan 173516
Adrian Price-Whelan;astroplan 92955
kvyh;astroplan 216895
Deil, Christoph;astroplan 111546
Berlanga Medina, Jazmin;astroplan 179713
Lanusse, F.;Glimpse 7111
EiffL;Glimpse 1641
Leonard, A.;Glimpse 547
Mosè Giordano;Glimpse 1094
Kavanagh, Bradley J.;runDM 18380
bradkav;runDM 40436
Hippke, Michael;PyOSE 1926
Mead, A. J.;collapse 2088
moad212;collapse 2784
Murray, S. G.;mrpy 858
A.K. Hutter;grid-model 11760
Hutter, Anne;grid-model 47040
Melchior, P.;scarlet 240402
Moolekamp, F.;scarlet 211227
herjy;scarlet 68853
Poleski, R.;MulensModel 236390
jenniferyee;MulensModel 53515
Yee, J. C.;MulensModel 21945
Aird, J.;FAST 328302
Hosek, Matthew W., Jr.;extlaw_H18 2952
Yurchenko, Sergei N.;exocross 142065
Trovemaster;exocross 133045
Davelaar, J.;raptor 25347
Bronzwaer, T.;raptor 36210
Mościbrodzka, M.;ipole 127400
Gammie, C. F.;ipole 15288
Charles F. Gammie;ipole 15288
Roberto Gonzalez;astroCV 1584
cristianhdez;astroCV 1584
Hernández, C. A.;astroCV 198
Roberto P. Muñoz;astroCV 990
Roberto Munoz;astroCV 594
regonzar;astroCV 594
Robotham, A. S. G.;ProFound 357162
jmeyers314;chroma 547863
Schreiber, C.;egg 67914
=;egg 16464
Mackereth, J. Ted;orbit-estimation 25407
Bovy, Jo;orbit-estimation 5646
Creasey, Peter E.;smerfs 162
Mao, Yao-Yuan;descqa 61932
Kovacs, Eve;descqa 31760
LSST Dark Energy Science Collaboration;descqa 8337
Zhou, Rongpu;descqa 6352
Birrer, Simon;lenstronomy 4231536
Daniel Gilman;lenstronomy 296112
Aymeric Galan;lenstronomy 429840
Liu, Jiajia;cat-puma 4527
ColdThunder;NR-code 1515
Gerosa, Davide;surrkick 66858
Feng, F.;agatha 22440
minzastro;unidam 8151
Mints, Alexey;unidam 53922
Paul, Debdutta;luminosity_function_of_sGRBs 1915
Paul, Debdutta;luminosity_function_of_lGRBs 425
Kitzmann, Daniel;FastChem 38817
Brett Morris;FastChem 6129
BuildTools;FastChem 4086
Obreschkow, D.;dftools 8000
Möstl, C.;3DCORE 1254
Isavnin, A.;3DCORE 4389
ragraat;steps 268
Rácz, Gábor;steps 1608
Farr, Will M.;exocartographer 7938
Farr, Ben;exocartographer 6174
Vasiliev, Eugene;Agama 422730
Francesco Radica;starsmasher 86336
James C. Lombardi Jr;starsmasher 45440
jalombar;starsmasher 49984
Francyrad;starsmasher 27264
seitanakiss;starsmasher 22720
Sarah;starsmasher 9088
Feng, Justin;PoMiN 7560
Justin Roberts-Pierel;snsed 25080
Yu, Hao-Ran;CUBE 1059
Casagrande, L.;bolometric-corrections 63900
casaluca;bolometric-corrections 12780
Carrasco, D.;GLACiAR 1395
Garsden, H.;pyse 5940
Molenaar, G.;pyse 540
Brinckmann, Thejs;montepython_public 1185342
Lesgourgues, Julien;montepython_public 1080753
Benjamin Audren;montepython_public 2347442
Nitz, Alexander H.;pycbc 49349360
Harry, Ian W.;pycbc 22600260
Dal Canton, Tito;pycbc 15994870
Dent, Thomas;pycbc 8788990
Capano, Collin D.;pycbc 12228160
Soumi De;pycbc 3166220
Willis, Joshua L.;pycbc 5786540
Brown, Duncan A.;pycbc 9225710
Biwer, Christopher M.;pycbc 9880790
Lundgren, Andrew;pycbc 3766710
spxiwh;pycbc 4148840
Pekowsky, Larne P.;pycbc 3875890
Wiesner, Karsten;pycbc 3821300
Kenyon, J. S.;CubiCal 124214
Benjamin Hugo;CubiCal 17232
Smirnov, O. M.;CubiCal 118470
ulricharmel;CubiCal 12206
Ulrich Armel Mbou Sob;CubiCal 22258
Vanderplas, J.;feets 55449
bradkav;BlackHolesDarkDress 27864
Kavanagh, Bradley J.;BlackHolesDarkDress 4644
Gaggero, Daniele;BlackHolesDarkDress 9288
Cieślar, Marek;Indri 678
Giannozzi, Paolo;q-e 72454808
Giannozzi, P.;q-e 12308104
Giustino, F.;q-e 6520224
Ceresoli, D.;q-e 6331232
Dal Corso, Andrea;q-e 14741376
Cavazzoni, Carlo;q-e 8197528
Sbraccia, Carlo;q-e 6874584
Obreja, Aura;gsf 575
Coles, Jonathan P.;glass 66880
Küng, Rafael;SpaghettiLens 357
RafiKueng;SpaghettiLens 672
kim554;wdec 1710
Michilli, D.;SpS 9320
Bishara, Fady;directdm-mma 14773
Brod, Joachim;directdm-mma 1738
Brod, Joachim;directdm-py 68651
Côté, Benoit;NuPyCEE 81130
Andrés Yagüe López;NuPyCEE 10980
critter1;NuPyCEE 46970
Ritter, Christian;NuPyCEE 9150
adampaul;NuPyCEE 9150
Kipping, David;exoinformatics 1076
Ahlers, John P.;LASR 152
mdavis36;spheral 146280
Michael Owen, J.;spheral 100488
Mike Owen;spheral 1002336
Paul H. Tsuji;spheral 109392
Cody Raskin;spheral 108756
villumsen;spheral 101124
Vagnozzi, Sunny;Braneworld-extra-dimensions 6982
Vogt, F. P. A.;fcmaker 160
Pessa, Ismael;PyMUSE 50250
Tejos, Nicolas;PyMUSE 16080
umbralcalc;foxi 1353
Hardwick, Robert J.;foxi 287
chris;aspic 4821345
Perrefort, Daniel;pwv_kpno 980
mlietzow;POLARIS 68757
Brauer, R.;POLARIS 305409
Nightingale, J. W.;PyAutoLens 498312
Jammy2211;PyAutoLens 359892
Massey, Richard J.;PyAutoLens 87666
Hayes, Richard;PyAutoLens 183022
jammy2211;PyAutoLens 399880
Elsner, F.;arkcos 74
Borja-Perez-Diaz;HII-CHI-Mistry 16962
Borja Pérez-Díaz;HII-CHI-Mistry 45232
Borja Pérez Díaz;HII-CHI-Mistry 5654
Borja-Perez-Diaz;HII-CHI-Mistry 3948
Borja Pérez-Díaz;HII-CHI-Mistry 10528
Borja Pérez Díaz;HII-CHI-Mistry 1316
Malik, Matej;HELIOS 114930
deitrr;THOR 177984
Deitrick, Russell;THOR 456084
P. Noti;THOR 131634
nab;THOR 177984
nabajour;THOR 51912
Schroffenegger, Urs;THOR 118656
Hardwick, Robert J.;nfield 1228
umbralcalc;nfield 3377
Pang, Di;SPEGID 1748
Riggi, S.;caesar 13920
Eastman, J. D.;EXOFASTv2 309140
René Tronsgaard;barycorr 7995
Víctor Terrón;barycorr 5330
René Tronsgaard Rasmussen;barycorr 5330
Zechmeister, M.;GLS 1124312
Katz, Max P.;wdmerger 132362
Zingale, Michael;wdmerger 23409
Line, J. L. B.;PUMA 40360
rwesson;damocles 11190
Bevan, Antonia;damocles 36927
damocles-code;damocles 6714
Haim, Niv;three_body_integration 2968
Leonardo Werneck;nrpytutorial 17119
Steven R. Brandt;nrpytutorial 24225
Etienne, Zachariah B.;nrpytutorial 177004
Ken Sible;nrpytutorial 35853
Leo Werneck;nrpytutorial 14858
Philip Chang;nrpytutorial 15181
Patrick Nelson;nrpytutorial 78812
penelson16;nrpytutorial 23902
Tyler Knowles;nrpytutorial 36176
Luger, Rodrigo;everest 995571
Alexandrov, Oleg;StereoPipeline 6480825
Scott;StereoPipeline 1911990
Moratto, Z. M.;StereoPipeline 2498490
SevenStarKnight;SSMM 78
Johnston, K. B.;SSMM 52
Juan BC;corral 5588
Beroiz, M.;corral 4064
Juan B Cabral;corral 36068
Sánchez, B.;corral 7620
Sivaramakrishnan, Anand;ImPlaneIA 2637
Greenbaum, Alexandra Z.;ImPlaneIA 13478
Rob De Rosa;ImPlaneIA 1172
Johannes Sahlmann;ImPlaneIA 1465
Creasey, P.;hfof 4619
Kornilov, M.;fips3 285
Malanchev, K.;fips3 192
Rossi, Loïc;pymiedap 3763
Dougal J. Sutherland;py-sdm 12780
Sutherland, Danica J.;py-sdm 119280
Zumalacárregui, Miguel;hi_class_public 242235
Bellini, Emilio;hi_class_public 256077
Thomas Tram;hi_class_public 449865
Lesgourgues, Julien;hi_class_public 2346219
Benjamin Audren;hi_class_public 955098
Hancock, P. J.;Robbie 4070
cjproud;Robbie 888
Hurley-Walker, N.;Robbie 370
Bachelet, Etienne;VBBinaryLensing 9387
Bozza, Valerio;VBBinaryLensing 9834
Bartolić, Fran;VBBinaryLensing 7599
valboz;VBBinaryLensing 1341
Higson, Edward;perfectns 226476
Varma, Vijay;surfinBH 190960
Stein, Leo C.;surfinBH 24304
Geen, Ruth;Isca 30805
Thomson, Stephen I.;Isca 28280
sit23;Isca 84840
Maher, Penelope;Isca 24745
Penn, James;Isca 39390
Malz, A. I.;qp 42016
Marshall, P. J.;qp 8484
Higson, Edward;nestcheck 220489
Drouart, G.;MrMoose 1162
Taylor, Peter L.;RequiSim 2092
Juric, Mario;galfast 20252
E. G. Patrick Bos;barcode 1313
Bos, E. G. Patrick;barcode 404
Breddels, Maarten A.;vaex 1718581
Veljanoski, Jovan;vaex 430233
Luger, Rodrigo;starry 1123156
Stuermer;EchelleSimulator 11
stuermer;EchelleSimulator 38
Stürmer, Julian;EchelleSimulator 18
Robertson, Zachary;EchelleSimulator 15
Stolker, T.;ARTES 14400
